idAdress;No voie;Type de voie;Voie;idCommune
64;148;IMP;DU SAUGY;19
65;77;LOT;CLOS CHAMP VRILLARD;12
66;27;RLE;DE L EGLISE;10
67;5;PL;DE L EGLISE;16
68;94;ALL;SIMON VAN DER MEER;21
69;242;RUE;DE PRE BAILLY;10
70;8;RTE;DE DIVONNE;30
71;24;RUE;LAMARTINE;5
72;88;RUE;DU PETIT CHAMP;26
73;27;RUE;DES VERGERS;26
74;250;RUE;DES FRENES;31
75;13;RUE;JEAN MONNET;11
76;2;RUE;DE LA BATISSE;11
77;33;RUE;DE GENEVE;7
78;30;RUE;DE VERSOIX;14
79;923;RTE;DE MURY;32
80;77;RUE;LA PIECE;2
81;103;MAIL;DU NEUTRINO;21
82;33;MAIL;DU NEUTRINO;21
83;75;RUE;DES VERGERS;26
84;27;RTE;DE CESSY;33
85;60;RUE;DE SAVOIE;5
86;90;RUE;DE LAUSANNE;3
87;72;RUE;DE LA REPUBLIQUE;11
88;198;RTE;DE VOUVRAY;5
89;786;AV;DES VOIRONS;3
90;256;AV;DE BELLE FERME;10
91;1143;RUE;CLAIRES FONTAINES;34
92;40;RUE;VICTOR HUGO;14
93;150;RUE;DE LA REPUBLIQUE;18
94;14;RUE;CASTELLION;8
95;38;AV;DE VESSY;14
96;36;RUE;DES APOTRES;11
97;91;;GRAND' RUE;35
98;88;RUE;DE LA PIERRE;32
99;223;RUE;DES PRALETS;19
100;232;RUE;DE LA ROCHETTE;36
101;3;RUE;GEORGES CHARPAK;7
102;9;RUE;DE LA FLAUDIERE;37
103;392;RTE;DE VOUVRAY;5
104;5186;;MATAFELON;38
105;8;RUE;GEORGES MARIN;5
106;6066;RUE;DES BATTOIRS;26
107;1;ESPA;CHARLES DE GAULLE;8
108;54;RUE;ANTOINE JACQUET;5
109;5208;;LE BULOZ;39
110;7;RUE;DU DOCTEUR GREZEL;24
111;247;CHE;DE PRE DE PLANCHE;21
112;120;CHE;DU MARTINET;12
113;12;RUE;DU MURET;8
114;47;RUE;DU CHANE;40
115;1;RUE;JOLIOT CURIE;5
116;15;CHE;DU LAVOIR;34
117;68;RUE;DES USINIERS;10
118;5001;ALL;HONORE DE BALZAC;18
119;9;RUE;DES FRERES SERPOLLET;6
120;231;RUE;DE LA RABOUDIERE;41
121;20;;HAMEAU DES CHENES;26
122;47;CHE;DES ECOLIERS;3
123;48;RUE;DE GENEVE;14
124;40;IMP;DES PISTES;29
125;4;IMP;DU PEGAN;14
126;4;PL;DE L HOTEL DE VILLE;37
127;76;RUE;COLONEL XAVIER RENDU;5
128;18;AV;FRANCIS BLANCHARD;10
129;711;RUE;DES MORAINES;2
130;35;RUE;BUFFON;5
131;20;RUE;PARMENTIER;5
132;461;RUE;JEAN-JACQUES ROUSSEAU;7
133;114;RUE;DU CONTE DES PERMISSIONS;3
134;38;RUE;JOSEPH MARION;5
135;242;RUE;DES VERTES CAMPAGNES;10
136;44;RUE;PASTEUR;16
137;34;RUE;DES ECOLES;7
138;183;RUE;DU VIEUX BOURG;15
139;54;RUE;ARISTIDE BRIAND;11
140;99;RUE;DE L AMITIE;18
141;16;RUE;DES HAUTAINS;7
142;5245;;LES MARS;42
143;17;AV;DES ALPES;14
144;35;RUE;DES PRELES;43
145;78;AV;DU GEN SARRAIL;11
146;22;RUE;DE L AVENIR;5
147;7;RUE;TURENNE;5
148;86;RUE;GUSTAVE EIFFEL;27
149;16;AV;DU JURA;14
150;6;RUE;GEORGES MARIN;5
151;346;RUE;DE PRE BAILLY;10
152;195;IMP;DU SAUGY;19
153;348;RUE;DE PRE BAILLY;10
154;72;CHE;DES COLLINES;43
155;86;RUE;DE MEYRIN;14
156;181;RUE;PARC JEAN MONNET;7
157;28;CHE;DU PEUDEX;3
158;62;CHE;DU PONT DE GREMAZ;26
159;1;ALL;ALBERT CAMUS;5
160;13;PL;DES FOURS;18
161;4;CHE;DU MARAIS;21
162;67;RTE;DE GENEVE;12
163;644;RUE;D ARBERE;3
164;67;RTE;DE CHAVORNOD;18
165;96;RUE;DU JURA;3
166;152;GR;GRANDE RUE;3
167;170;RUE;DES TERREAUX;10
168;399;RUE;DU COTEILLON;16
169;780;RUE;DE LA REPUBLIQUE;44
170;71;CHE;DE LA PRALAY;45
171;46;AV;DES NATIONS;46
172;13;RUE;DE LAYE;47
173;151;RTE;DE BELLEVILLE;48
174;9;RUE;NEUVE;49
175;768;RUE;EDOUARD HERRIOT;50
176;172;RUE;HECTOR BERLIOZ;51
177;2;RUE;DE LYON;47
178;1172;RTE;DE GENEVE;52
179;62;CHE;DU BONATIER;53
180;40;MTE;DES CANNES;54
181;12;RUE;LUCIEN QUITTELIER;55
182;27;RUE;FERNAND THUILLART;56
183;1;RUE;CONDORCET;56
184;15;RUE;DU REMPART SAINT REMY;56
185;11;RUE;BONNOT;56
186;2;RUE;MAZIN;57
187;13;RUE;PAUL DOUMER;56
188;20;RUE;DES OEUVRES DE CHINE;55
189;13;RUE;VINCHON;56
190;15;RUE;DU CHANGE;56
191;27;RUE;CARLIER HENNECART;56
192;9001;RUE;JEAN DE LA FONTAINE;56
193;27;RUE;JEAN RACINE;56
194;10;PL;DU MARCHE;56
195;32;RUE;DE LA LINOTTE;56
196;1;RLE;DES NEUFLIERS;56
197;30;RUE;DE L EGLISE;58
198;1;PL;BOUZIER;55
199;30;RUE;SERURIER;56
200;16;RUE;DE MONTEVIDEO;59
201;108;BD;GAMBETTA;60
202;9003;RUE;ROBERT GODARD;61
203;4;RUE;DE LA CONGREGATION;56
204;21;RUE;AMPERE;56
205;3;AV;CARNOT;56
206;2;RUE;DE LA SELLERIE;62
207;1;RUE;D ISLE;62
208;23;RUE;DU GOUVERNEMENT;62
209;15;RUE;VARLET;62
210;2;PL;FERNAND MARQUIGNY;63
211;36;RUE;DU MOULIN BOTTE;64
212;12;RUE;DES PAVEURS;63
213;2;BD;JEANNE D ARC;63
214;2;RUE;JEAN DELAPLACE;63
215;1;RUE;DE LA SURCHETTE;63
216;18;RUE;QUINQUET;63
217;1;RUE;DU PONT DE LA TOURNELLE;65
218;7;RUE;DE FONTENOY;65
219;;;LA FOSSE SALMON;66
220;19;RUE;SAINT DENIS;67
221;3;RUE;ROGER SALENGRO;66
222;18;RUE;DU CHAMP BOUILLANT;63
223;3;RUE;DE LA RESISTANCE;63
224;14;RUE;PORTE CROUY;63
225;2;CHT;DE LA QUINCY;68
226;8;PTR;PETITE RUE SAINT VINCENT;69
227;2;RUE;DE BAPAUME;66
228;10;PL;DE LAON;63
229;1;RUE;DES GRAVIERS;63
230;15;RUE;DU CHAMP BOUILLANT;63
231;20;RUE;NOTRE DAME;63
232;17;RUE;ALEXANDRE DUMAS;66
233;5;RUE;FERNAND BAZIN;70
234;5;PL;DU DOCTEUR MOUFLIER;66
235;2;BD;EDOUARD BRANLY;63
236;4;PL;DE LAON;63
237;16;RUE;D OULCHY LE CHATEAU;71
238;12;AV;THIERS;63
239;4;RUE;JEAN MOULIN;63
240;3;RUE;PORTE CROUY;63
241;30;AV;DU GENERAL DE GAULLE;63
242;9;RUE;VICTOR HUGO;66
243;41;RUE;DU GRAND MONTOIR;66
244;7;RUE;DE PANLEU;63
245;22;BD;JEANNE D ARC;63
246;12;AV;DE LA MARE AUX CANES;72
247;3;PL;DE L HOTEL DE VILLE;72
248;50;GR;GRANDE RUE;72
