idCommune;Code postal;Commune;Code departement
372;14800;DEAUVILLE;14
373;14510;HOULGATE;14
374;14130;PONT-L EVEQUE;14
375;14910;BLONVILLE-SUR-MER;14
376;14800;TOURGEVILLE;14
377;14800;TOUQUES;14
378;14910;BENERVILLE-SUR-MER;14
379;14430;DOZULE;14
380;14600;EQUEMAUVILLE;14
381;14800;SAINT-ARNOULT;14
382;14600;RIVIERE-SAINT-SAUVEUR (LA);14
383;16000;ANGOULEME;16
384;16600;RUELLE-SUR-TOUVRE;16
385;16800;SOYAUX;16
386;16300;BARBEZIEUX SAINT HILAIRE;16
387;16340;L'ISLE D'ESPAGNAC;16
388;16160;GOND PONTOUVRE;16
389;16470;SAINT-MICHEL;16
390;17138;SAINT-XANDRE;17
391;17000;LA ROCHELLE;17
392;17140;LAGORD;17
393;17180;PERIGNY;17
394;17340;CHATELAILLON-PLAGE;17
395;17440;AYTRE;17
396;17220;CLAVETTE;17
397;17111;LOIX;17
398;17410;SAINT-MARTIN-DE-RE;17
399;17170;COURCON;17
400;17880;LES PORTES-EN-RE;17
401;17138;PUILBOREAU;17
402;17139;DOMPIERRE-SUR-MER;17
403;17230;MARANS;17
404;17590;ARS-EN-RE;17
405;17690;ANGOULINS;17
406;17300;ROCHEFORT;17
407;17430;TONNAY CHARENTE;17
408;17450;FOURAS;17
409;17100;SAINTES;17
410;17600;SAUJON;17
411;17110;SAINT-GEORGES-DE-DIDONNE;17
412;17132;MESCHERS-SUR-GIRONDE;17
413;17120;BARZAN;17
414;17400;ST JEAN D'ANGELY;17
415;18100;VIERZON;18
416;18000;BOURGES;18
417;18400;SAINT-FLORENT-SUR-CHER;18
418;18500;MEHUN-SUR-YEVRE;18
419;18570;MORTHOMIERS;18
420;18500;ALLOUIS;18
421;18200;SAINT-AMAND-MONTROND;18
422;18700;AUBIGNY-SUR-NERE;18
423;19260;TREIGNAC;19
424;19000;TULLE;19
425;19200;USSEL;19
426;19100;BRIVE LA GAILLARDE;19
427;19270;USSAC;19
428;19230;SAINT-SORNIN-LAVOLPS;19
429;19360;MALEMORT;19
430;19270;SAINTE FEREOLE;19
431;21000;DIJON;21
432;22000;SAINT-BRIEUC;22
433;22430;ERQUY;22
434;22400;LAMBALLE-ARMOR;22
435;22170;CHATELAUDREN-PLOUAGAT;22
436;22360;LANGUEUX;22
437;22440;PLOUFRAGAN;22
